date,fund_name,nav_per_unit,repurchase_price,sale_price,source,status,total_nav,units
2025-10-22,,117.1844,117.1844,117.1844,zansec,extracted,23084328860.11,196991484.02
2025-10-22,Zansec Bond Fund,117.1844,117.1844,117.1844,zansec,extracted,23084328860.11,196991484.02
2025-10-22,Zansec Bond Fund,117.1844,117.1844,117.1844,zansec,extracted,23084328860.11,196991484.02
2025-10-21,Zansec Bond Fund,117.1486,117.1486,117.1486,zansec,extracted,22885729561.63,195356406.83
2025-10-21,,117.1486,117.1486,117.1486,zansec,extracted,22885729561.63,195356406.83
2025-10-21,Zansec Bond Fund,117.1486,117.1486,117.1486,zansec,extracted,22885729561.63,195356406.83
2025-10-21,Zansec Bond Fund,117.1486,117.1486,117.1486,zansec,extracted,22885729561.63,195356406.83
2025-10-20,Zansec Bond Fund,117.1105,117.1105,117.1105,zansec,extracted,22803120094.65,194714565.26
2025-10-20,,117.1105,117.1105,117.1105,zansec,extracted,22803120094.65,194714565.26
2025-10-20,Zansec Bond Fund,117.1105,117.1105,117.1105,zansec,extracted,22803120094.65,194714565.26
2025-10-20,Zansec Bond Fund,117.1105,117.1105,117.1105,zansec,extracted,22803120094.65,194714565.26
2025-10-17,Zansec Bond Fund,117.0,117.0,117.0,zansec,extracted,22761541481.33,194543089.58
2025-10-17,,117.0,117.0,117.0,zansec,extracted,22761541481.33,194543089.58
2025-10-17,Zansec Bond Fund,117.0,117.0,117.0,zansec,extracted,22761541481.33,194543089.58
2025-10-17,Zansec Bond Fund,117.0,117.0,117.0,zansec,extracted,22761541481.33,194543089.58
2025-10-16,Zansec Bond Fund,116.9649,116.9649,116.9649,zansec,extracted,22472491443.87,192130215.51
2025-10-16,,116.9649,116.9649,116.9649,zansec,extracted,22472491443.87,192130215.51
2025-10-16,Zansec Bond Fund,116.9649,116.9649,116.9649,zansec,extracted,22472491443.87,192130215.51
2025-10-16,Zansec Bond Fund,116.9649,116.9649,116.9649,zansec,extracted,22472491443.87,192130215.51
2025-10-15,Zansec Bond Fund,116.9279,116.9279,116.9279,zansec,extracted,20647235584.36,176580915.11
2025-10-15,,116.9279,116.9279,116.9279,zansec,extracted,20647235584.36,176580915.11
2025-10-15,Zansec Bond Fund,116.9279,116.9279,116.9279,zansec,extracted,20647235584.36,176580915.11
2025-10-15,Zansec Bond Fund,116.9279,116.9279,116.9279,zansec,extracted,20647235584.36,176580915.11
2025-10-13,Zansec Bond Fund,116.854,116.854,116.854,zansec,extracted,20604482381.24,176326718.65
2025-10-13,,116.854,116.854,116.854,zansec,extracted,20604482381.24,176326718.65
2025-10-13,Zansec Bond Fund,116.854,116.854,116.854,zansec,extracted,20604482381.24,176326718.65
2025-10-13,Zansec Bond Fund,116.854,116.854,116.854,zansec,extracted,20604482381.24,176326718.65
2025-10-09,Zansec Bond Fund,116.701,116.701,116.701,zansec,extracted,20493058640.59,175603110.86
2025-10-09,,116.701,116.701,116.701,zansec,extracted,20493058640.59,175603110.86
2025-10-09,Zansec Bond Fund,116.701,116.701,116.701,zansec,extracted,20493058640.59,175603110.86
2025-10-09,Zansec Bond Fund,116.701,116.701,116.701,zansec,extracted,20493058640.59,175603110.86
2025-10-08,Zansec Bond Fund,116.669,116.669,116.669,zansec,extracted,20321462164.68,174180477.8
2025-10-08,,116.669,116.669,116.669,zansec,extracted,20321462164.68,174180477.8
2025-10-08,Zansec Bond Fund,116.669,116.669,116.669,zansec,extracted,20321462164.68,174180477.8
